Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 4,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELLY PARTNERS,,2024,,,,,,,,,"2,24",,"0,04","0,08","1,77","0,79","45,00","132,00","4,33","21,55","0,57","56,22","108,14",,"10,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELLY PARTNERS,,2023,,,,,,,,,"3,04",,"0,05","0,09","1,61","0,53","45,00","54,07","5,96","17,22","0,43","56,15","83,67",,"8,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELLY PARTNERS,,2022,,,,,,,,,"2,33",,"0,09","0,12","1,19","0,51","45,00","31,39","11,17","25,73","0,39","70,76","64,86",,"13,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELLY PARTNERS,,2021,,,,,,,,,"1,73",,"0,06","0,10","0,71","0,41","45,00","33,20","12,55","28,59","0,33","62,50","48,91",,"15,60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELLY PARTNERS,,2020,,,,,,,,,"1,69",,"0,05","0,09","0,59","0,35","45,40","9,95","12,10","26,47","0,32","60,97","45,5",,"15,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELLY PARTNERS,,2019,,,,,,,,,"1,71",,"0,00","0,05","0,41","0,24","45,49","16,64","9,16","23,82","0,22","0,00","39,98",,"13,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELLY PARTNERS,,2018,,,,,,,,,,,,,,,,,,,,,,,"4,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESLA,https://upload.wikimedia.org/wikipedia/commons/e/e8/Tesla_logo.png,2026,Technologie,,,"415,88","58,10","123,24","6,16",,"1,34","0,00","0,00",,"4,16","3,11","3,33","369,15","4,27","6,31","1,76",,"94,83",NASDAQ:TSLA,"8,29","14,16","26,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESLA,,2025,,,,,,,,,"1,34","0,00","0,00","1,66","4,17","3,12","3,75","418,19","4,27","5,11","1,76",,"94,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESLA,,2024,,,,,,,,,"1,04","0,00","0,00","2,42","3,89","3,75","3,22","198,13","9,35","7,94","1,02",,"97,69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESLA,,2023,,,,,,,,,"0,71","0,00","0,00","3,12","2,75","3,89","3,19","57,73","25,50","9,19","1,25",,"96,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESLA,,2022,,,,,,,,,"0,33","0,00","0,00","4,07","1,65","5,00","3,16","34,02","29,41","16,98","2,18",,"81,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESLA,,2021,,,,,,,,,"0,94","0,00","0,00","2,26","2,62","2,78","3,10","215,99","15,73","12,07","1,47",,"53,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESLA,,2020,,,,,,,,,"3,09","0,00","0,00","0,75","4,11","1,33","2,88",,"2,64","6,32","0,83",,"31,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESLA,,2019,,,,,,,,,"6,57","0,00","0,00","0,00","5,52","0,84","2,72",,"-4,93","0,33","0,37",,"24,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESLA,,2018,,,,,,,,,,"0,00","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALESFORCE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaAx4OMNKDO78w1GtSY9IKw8zy3RPjRMbWyg&s,2026,Technologie,,"21,92","209,60","221,41","180,56","-0,05",,"0,81","0,76","1,60","10,20","12,22","15,16","937,00","24,74","10,24","23,86","13,55",,"40,32",NYSE:CRM,"14,76","20,59","1,20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALESFORCE,,2025,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALESFORCE,,2024,,,,,,,,,"0,91",,"1,60","10,20","12,39","13,59","962,00","53,71","8,63","20,23","12,77","25,15","37,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALESFORCE,,2023,,,,,,,,,"1,14",,"0,00","8,22","13,78","12,08","971,00","66,88","5,80","17,21","9,65",,"34,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALESFORCE,,2022,,,,,,,,,"2,04",,"0,00","5,24","14,92","7,33","1001,00","805,23","0,29","5,93","6,33",,"31,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALESFORCE,,2021,,,,,,,,,"2,77",,"0,00","4,78","14,75","5,33","989,00","156,91","2,43","2,07","5,42",,"26,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALESFORCE,,2020,,,,,,,,,"1,47",,"0,00","4,92","6,89","4,69","919,00","51,52","9,42","2,14","4,40",,"21,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALESFORCE,,2019,,,,,,,,,"1,78",,"0,00","2,99","7,36","4,13","893,00","1023,00","0,43","2,94","4,30",,"17,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALESFORCE,,2018,,,,,,,,,"1,49",,"0,00","2,75","4,36","2,92","770,00","106,27","7,51","4,23","3,62",,"13,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P GLOBAL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSL49KBUfMDSTa0x6xUSz8O9Ih0WFaNADqNcg&s,2026,Technologie,,"5,41","428,56","356,60","320,14","0,20",,"1,78","0,90","3,84",,"45,37","25,53","298,80","27,09","10,04","40,32","18,06",,"15,34",NYSE:SPGI,"14,96","9,36","2,89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P GLOBAL,,2025,,,,,,,,,"1,80",,"3,84","17,83","44,92","24,94","306,00","35,66","10,04","41,93","17,88","26,20","15,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P GLOBAL,,2024,,,,,,,,,"1,74",,"3,64","15,70","38,61","22,16","315,00","40,33","8,44","40,39","17,84","29,47","14,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P GLOBAL,,2023,,,,,,,,,"2,15",,"3,60","12,60","37,96","17,67","322,00","53,50","5,60","35,94","11,19","43,72","12,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P GLOBAL,,2022,,,,,,,,,"2,62",,"3,32","11,19","36,58","13,98","329,00","32,84","11,96","30,77","7,89","32,56","11,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P GLOBAL,,2021,,,,,,,,,"1,06",,"3,08","13,70","19,45","18,28","241,00","37,74","51,25","51,11","14,74","24,63","8,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P GLOBAL,,2020,,,,,,,,,"1,19",,"2,68","11,69","19,64","16,48","241,00","34,03","45,82","50,85","14,42","27,74","7,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P GLOBAL,,2019,,,,,,,,,"1,37",,"2,28","9,53","18,96","13,82","244,00","31,76","45,47","47,89","10,78","26,52","6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P GLOBAL,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOKING,https://cf.bstatic.com/static/img/bcom_logo_blue_bg/f12f834e849b2a7f752a14b2598a6ddfeda1e713.svg,2026,Technologie,,"11,42","169,25","164,16","120,66","0,03",,"1,82","0,00",,,"23,86","13,14","774,88","22,13","72,67","23,43","11,38",,"27,69",NASDAQ:BKNG,"16,84","12,10","1,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOKING,,2025,,,,,,,,,"1,89",,"1,54","9,12","23,79","12,57","797,35","32,34","44,95","35,25","11,14","23,19","26,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOKING,,2024,,,,,,,,,"2,44",,"1,40","7,48","23,86","9,79","83,67","28,77","54,88","31,97","9,27","20,27","23,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOKING,,2023,,,,,,,,,"2,84",,,"6,09","20,24","7,12","859,94","30,21","33,69","27,33","7,66","0,00","21,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOKING,,2022,,,,,,,,,"2,99",,,"3,99","16,43","5,50","946,57","26,40","19,85","28,69","6,18","0,00","17,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOKING,,2021,,,,,,,,,"4,20",,,"1,83","13,20","3,14","1003,00","85,18","7,34","24,14","2,43","0,00","10,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOKING,,2020,,,,,,,,,"10,42",,,"0,19","11,04","1,06","1002,00",,"0,39","6,67","-0,20","0,00","6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOKING,,2019,,,,,,,,,"2,22",,,"4,10","12,19","5,50","1004,00","18,37","30,92","35,48","4,13","0,00","15,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOKING,,2018,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTELATION SOFTWARE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9P1EBuVfCIf1-QQ9BSr0JRhMjEBjR0KCYtg&s,2026,Technologie,,"18,00","2931,96","3806,54","2827,62","-0,23",,"1,74",,,,"357,31","205,86","21,19","63,63","9,69","16,60","163,13",,"15,59",TSE:CSU,"11,79","12,00","5,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTELATION SOFTWARE,,2025,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTELATION SOFTWARE,,2024,,,,,,,,,"1,78",,"5,52","113,29","307,64","173,25","21,19","94,06","13,13","14,44","128,26","11,69","13,79",,"13,06",,,,,,,Revenio Group : Ils possèdent le standard mondial pour mesurer la pression de l'œil (glaucome).,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTELATION SOFTWARE,,2023,,,,,,,,,"2,01",,"5,34","89,65","279,75","139,29","21,19","91,30","15,36","13,87","102,41","14,85","11,35",,"13,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTELATION SOFTWARE,,2022,,,,,,,,,"1,38",,"5,29","60,20","146,29","105,91","21,19","67,21","19,28","13,67","72,92","16,80","8,62",,"14,75",,,,,,,"Harvia : Le leader mondial du sauna. Un marché ""bien-être"" en pleine explosion.",,,,,,,,,,,,,,,,,,,,,,,,,
CONSTELATION SOFTWARE,,2021,,,,,,,,,"0,94",,"5,03","53,12","83,09","88,51","21,19","127,97","15,98","16,78","173,12","27,44","6,4",,"16,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTELATION SOFTWARE,,2020,,,,,,,,,"0,58",,"5,35","46,21","43,59","75,07","21,19","59,90","31,20","17,08","71,59","19,38","5,32",,"15,61",,,,,,,EVS Broadcast : Indispensable pour tous les ralentis sportifs à la télévision mondiale.,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTELATION SOFTWARE,,2019,,,,,,,,,"0,78",,"5,31","32,90","45,53","58,73","21,19","60,49","27,31","14,76","44,33","25,46","4,63",,"16,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTELATION SOFTWARE,,2018,,,,,,,,,"0,50",,"5,25","35,09","23,74","47,25","21,19","37,67","36,84","15,25","37,77","22,61","3,97",,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQUASENS,https://equasens.com/wp-content/uploads/2022/05/cropped-logoequasens.png,2026,Technologie,,"8,65","38,35","45,38","38,15","-0,15",,"0,80",,,,"3,27","4,07","15,03","14,68","14,16","18,23","3,39",,,EPA:EQS,"14,82","5,05","2,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQUASENS,,2025,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQUASENS,,2024,,,,,,,,,"0,81",,"1,25","2,40","3,19","3,92","15,03","18,53","13,73","20,59","3,26","51,86","398,01",,"15,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQUASENS,,2023,,,,,,,,,"1,01",,"1,25","3,13","4,57","4,52","15,03","19,71","18,65","25,21","3,31","39,94","394,05",,"18,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQUASENS,,2022,,,,,,,,,"0,97",,"1,15","3,15","4,40","4,52","15,03","24,51","20,07","26,26","3,19","37,38","350,81",,"19,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQUASENS,,2021,,,,,,,,,"1,36",,"1,05","2,60","5,54","4,06","1502,00","36,46","18,60","26,04","2,51","40,31","329,95",,"17,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQUASENS,,2020,,,,,,,,,"1,29",,"0,95","2,05","4,77","3,69","15,07","54,66","16,45","27,16","1,92","46,61","295,78",,"17,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQUASENS,,2019,,,,,,,,,"1,19",,"0,90","1,89","3,83","3,21","15,03","32,06","16,58","25,76","1,70","47,61","258,1",,"17,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQUASENS,,2018,,,,,,,,,"0,98",,"0,85","1,70","2,89","2,95","14,97","30,08","18,28","26,21","1,24","50,03","223,81",,"18,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTERCARD,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/MasterCard_Logo.svg/1280px-MasterCard_Logo.svg.png,2026,Finance & assurance,,"2,89","495,25","365,00","326,00","0,36",,"0,94",,,,"21,91","23,26","885,22","29,73","58,41","57,73","18,83",,"32,84",NYSE:MA,"19,88","11,84","2,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTERCARD,,2025,,,,,,,,,"0,94",,"3,15","17,01","21,72","23,21","887,00","34,55","58,41","60,07","18,67","19,07","32,84",,"19,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTERCARD,,2024,,,,,,,,,"1,11",,"2,74","14,60","20,48","18,43","907,00","37,92","55,38","56,98","15,40","19,73","28,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTERCARD,,2023,,,,,,,,,"1,06",,"2,37","12,26","17,40","16,36","927,00","36,04","52,58","57,84","11,98","20,03","25,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTERCARD,,2022,,,,,,,,,"1,10",,"2,04","10,65","15,23","13,87","948,00","34,00","47,58","56,63","11,39","19,95","22,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTERCARD,,2021,,,,,,,,,"1,33",,"1,81","8,40","14,79","11,12","972,00","41,03","43,21","53,94","8,95","20,67","18,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTERCARD,,2020,,,,,,,,,"1,53",,"1,64","6,43","13,44","8,76","987,00","56,01","37,47","53,03","6,52","25,73","15,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTERCARD,,2019,,,,,,,,,"0,90",,"1,39","7,77","9,09","10,10","996,00","37,59","61,72","57,47","7,31","17,50","16,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTERCARD,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCDONALDS,https://upload.wikimedia.org/wikipedia/fr/thumb/e/ea/Mcdonalds_France_2009_logo.svg/1280px-Mcdonalds_France_2009_logo.svg.png,2026,Consommation de base,,"5,92","276,11","268,40","239,86","0,03",,"3,76",,,,"76,75","20,43","710,40","26,01","17,15","45,07","10,06",,,NYSE:MCD,"13,49","6,52","3,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCDONALDS,,2025,,,,,,,,,"3,76",,"7,17","12,20","76,51","20,35","710,60","25,57","17,15","46,06","10,03","59,99","26,89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCDONALDS,,2024,,,,,,,,,"3,72",,"6,78","11,72","71,96","19,33","715,20","25,45","17,68","45,76","9,24","59,52","25,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCDONALDS,,2023,,,,,,,,,"3,88",,"6,23","11,94","72,50","18,70","731,30","25,64","19,35","45,97","9,91","53,87","25,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCDONALDS,,2022,,,,,,,,,"3,98",,"5,66","10,10","65,69","16,49","744,80","31,62","14,35","44,66","7,40","67,92","23,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCDONALDS,,2021,,,,,,,,,"4,24",,"5,25","9,28","65,64","15,48","745,40","26,71","17,81","42,09","9,45","52,31","23,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCDONALDS,,2020,,,,,,,,,"5,78",,"5,04","6,05","68,61","11,88","745,50","34,03","11,92","37,29","6,17","79,92","19,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCDONALDS,,2019,,,,,,,,,"4,53",,"4,73","7,84","62,17","13,72","746,30","25,09","18,98","41,56","7,49","60,05","21,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCDONALDS,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCA COLA,https://dirigeants-entreprise.com/content/uploads/coca-cola.png,2026,Consommation de base,,"2,44","78,64","69,00","55,20","0,14",,"2,59",,,,"10,17","3,92","4,30","25,32","19,24","34,88","2,91",,"49,81",NYSE:KO,"16,55","5,16","4,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCA COLA,,2025,,,,,,,,,"2,91",,"2,04","3,00","10,95","3,76","4,30","23,00","18,22","31,38","1,23","67,13","48,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCA COLA,,2024,,,,,,,,,"3,07",,"1,94","2,88","10,59","3,45","4,30","25,30","16,27","29,58","1,10","78,83","46,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCA COLA,,2023,,,,,,,,,"3,03",,"1,84","2,69","10,01","3,30","4,31","23,87","17,27","28,78","2,25","74,52","45,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCA COLA,,2022,,,,,,,,,"3,07",,"1,76","2,48","9,33","3,04","4,33","29,00","15,41","27,90","2,19","80,23","42,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCA COLA,,2021,,,,,,,,,"3,61",,"1,68","2,32","10,19","2,82","4,33","26,30","15,89","27,90","2,59","74,62","38,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCA COLA,,2020,,,,,,,,,"3,97",,"1,64","1,95","10,27","2,59","4,30","30,60","14,30","29,22","2,00","91,52","33,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCA COLA,,2019,,,,,,,,,"3,72",,"1,60","2,11","10,24","2,75","4,28","26,77","19,83","28,18","1,95","77,38","37,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCA COLA,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRB6YnQoM78NCEw3f--iWcGhpQFjBxfo9k6fw&s,2026,Consommation de base,,"11,13","322,77","321,16","256,93","0,01",,"0,79",,,,"12,51","15,77","1,66","28,57","39,03","67,67","11,06",,"43,03",NYSE:V,"19,59","11,25","2,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISA,,2025,,,,,,,,,"0,93",,"2,36","11,47","13,27","14,29","1,69","33,81","33,39","67,17","10,98","23,37",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISA,,2024,,,,,,,,,"0,86",,"2,08","10,05","10,68","12,42","1,73","28,67","32,36","67,25","9,21","21,69","35,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISA,,2023,,,,,,,,,"0,91",,"1,80","8,77","10,06","11,01","1,59","28,23","29,34","67,43","9,45","22,09","32,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISA,,2022,,,,,,,,,"1,11",,"1,50","7,50","10,75","9,65","1,64","25,94","25,61","67,38","8,37","21,90","29,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISA,,2021,,,,,,,,,"1,30",,"1,28","5,91","9,87","7,60","1,68","40,59","20,74","65,66","6,64","23,32","24,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISA,,2020,,,,,,,,,"1,66",,"1,20","5,04","11,08","6,69","1,68","42,44","19,19","64,58","4,37","25,47","21,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISA,,2019,,,,,,,,,"1,04",,"1,00","5,44","7,36","7,07","1,72","33,55","22,83","67,03","5,29","19,50","22,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISA,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGIE,https://www.fournisseur-energie.com/_next/image/?url=https%3A%2F%2Fd11o8pt3cttu38.cloudfront.net%2Fwp-content%2Fuploads%2F2024%2F09%2Flogos-engie.png&w=640&q=75,2026,Consommation de base,,"-2,50","26,66","18,12","14,50","0,47",,"4,25",,,,"19,87","4,68","2,54","17,61","4,98","11,72","-3,19",,"71,94","EPA:ENGI
","4,48","5,33","3,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGIE,,2025,,,,,,,,,"4,32",,"1,35","1,51","24,13","5,58","2,43","14,84","4,80","11,80","-3,88","88,92","71,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGIE,,2024,,,,,,,,,"3,97",,"1,48","1,65","23,01","5,79","2,43","9,25","5,54","12,15","1,33","89,05","73,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGIE,,2023,,,,,,,,,"4,39",,"1,43","2,20","20,92","4,77","2,42","18,11","3,27","7,15","2,24","162,68","82,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGIE,,2022,,,,,,,,,"5,56",,"1,40","2,16","18,18","3,27","2,42","231,63","-3,15","2,89","0,64","2420,00","93,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGIE,,2021,,,,,,,,,"4,28",,"0,85","1,24","18,43","4,31","2,42","8,94","5,47","9,48","0,03","58,08","57,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGIE,,2020,,,,,,,,,"5,01",,"0,53","0,63","17,32","3,46","2,42",,"-2,57","7,65","0,88",,"44,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGIE,,2019,,,,,,,,,"4,57",,"0,00","1,05","17,51","3,83","2,,41","42,59","1,31","7,05","0,43","0,00","60,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGIE,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORANGE,https://upload.wikimedia.org/wikipedia/commons/c/c8/Orange_logo.svg,2026,Consommation de base,,"-14,17","17,91","7,74","6,19","1,31",,"4,23",,,,"18,81","4,45","2,66","89,38","0,73","13,23","1,30",,"40,4","EPA:ORA
","3,34","1,51","59,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORANGE,,2025,,,,,,,,,"4,23",,"0,75","0,86","18,82","4,45","2,66","102,31","0,48","8,14","1,30","540,35","40,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORANGE,,2024,,,,,,,,,"3,67",,"0,75","0,82","18,03","4,91","2,66","11,78","2,89","12,82","1,31","91,75","40,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORANGE,,2023,,,,,,,,,"4,29",,"0,72","0,85","19,79","4,61","2,66","12,10","2,94","11,38","1,59","84,53","39,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORANGE,,2022,,,,,,,,,"3,88",,"0,70","0,81","19,77","5,09","2,66","12,74","2,75","11,59","0,91","95,63","43,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORANGE,,2021,,,,,,,,,"4,23",,"0,70","0,09","19,59","4,63","2,66","3140,00","0,01","8,63","0,94","2333,00","42,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORANGE,,2020,,,,,,,,,"3,78",,"0,70","1,76","19,21","5,08","2,66","5,71","6,48","12,00","1,55","40,71","42,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORANGE,,2019,,,,,,,,,"3,98",,"0,50","1,02","20,12","5,06","2,65","12,84","4,28","12,31","0,66","48,47","42,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORANGE,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFRAN,https://www.logotheque-vectorielle.fr/wp-content/uploads/2022/10/logo-vectoriel-safran.jpg,2026,Consommation de base,,"-8,70","297,00","152,00","121,60","0,95",,"0,95",,,,"12,75","13,46","416,91","17,64","45,12","11,77","10,73",,"31,19","EPA:SAF
","15,64","4,39","4,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFRAN,,2025,,,,,,,,,"0,95",,"3,35","7,60","12,74","13,45","416,91","17,32","45,12","13,29","10,73","19,51","31,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFRAN,,2024,,,,,,,,,"1,03",,"2,90","7,29","12,15","11,74","416,78",,"-4,33","12,56","8,86",,"27,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFRAN,,2023,,,,,,,,,"1,67",,"2,20","4,70","15,26","9,13","413,53","19,97","21,10","11,00","7,87","26,69","23,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFRAN,,2022,,,,,,,,,"2,14",,"1,35","2,68","16,29","7,62","424,56",,"-14,32","9,62","7,14",,"19,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
