Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 4,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERMES,,2024,,,,,,,,,"0,31",,"26,00","43,87","20,72","66,74","104,84","52,93","25,47","40,82","40,33","59,19","15,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERMES,,2023,,,,,,,,,"0,32",,"25,00","41,12","19,65","61,15","104,73","46,66","27,75","12,79","35,25","60,69","13,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERMES,,2022,,,,,,,,,"0,35",,"13,00","32,09","18,43","52,25","104,54","45,04","26,87","42,03","36,57","40,37","11,60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERMES,,2021,,,,,,,,,"0,43",,"8,00","23,30","17,17","39,58","104,64","65,94","24,71","40,01","29,03","34,23","9,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERMES,,2020,,,,,,,,,"0,66",,"4,55","13,21","16,07","24,46","104,60","66,59","16,96","32,17","12,62","34,30","6,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERMES,,2019,,,,,,,,,"0,41",,"4,55","14,55","10,87","26,75","104,21","45,80","23,47","34,39","16,58","31,03","6,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERMES,,2018,,,,,,,,,"0,46",,"4,55","12,98","11,12","24,33","104,25","36,18","24,45","35,96","15,78","33,74","5,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASML,https://upload.wikimedia.org/wikipedia/commons/6/6c/ASML_Holding_N.V._logo.svg,2026,Technologie,,"-1,73","1394,00","741,90","656,76","0,88","56,37","0,22",,,,"7,00","31,85","387,60","50,10","42,98","35,31","28,64",,"32,67",EPA:ASML,"18,44","11,48","4,36",,,,,,,,,,SANOFI,https://grapheine.com/wp-content/uploads/2011/05/sanofi_niou-2560x1102.webp,2026,Santé,,"17,70","74,16","139,84","92,94","-0,47","10,08","1,59","5,29","3,92",,"16,66","10,46","1,21","18,92","5,55","31,20"
ASML,,2025,,,,,,,,,"0,22",,"7,50","24,73","6,97","31,70",,"37,29","42,98","34,60","28,50","30,32","32,67",,,,,,,,,,,,,,RESMED,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRC7EOgqlfnxK3qaeQGEP3A3xI3hflPeWLkIw&s,2026,Santé,,"20,59","186,44","238,75","182,00","-0,22",#REF!,"0,41","1,14",,,"5,79","14,29","145,68","22,48","22,98","35,16"
ASML,,2024,,,,,,,,,"0,50",,"6,40","19,25","12,69","25,43","393,28","35,28","37,25","31,92","23,12","33,24","28,26",,,,,,,,,,,,,,NOVO NORDISK,https://companieslogo.com/img/orig/NVO_BIG-f838aae1.png?t=1720244493,2026,Santé,,"29,26","38,12","78,05","59,72","-0,51","11,23","0,87","4,09","1,56","3,08","3,93","4,50","3,37","12,22","37,51","40,32"
